#GRM21BR6YA106KE43,,
#In Production,,
#2024/04/26,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC1Vrms,,
DC Bias[V],Capacitance[F],
26.599999999999998,1.1765757245023046E-6,
26.775,1.168370962811271E-6,
26.95,1.1604141789036545E-6,
27.125,1.1527041482189938E-6,
27.299999999999997,1.1452391992841413E-6,
27.474999999999998,1.1380171905101815E-6,
27.65,1.131035485990702E-6,
27.825,1.1242909301901266E-6,
28.0,1.117779821420326E-6,
28.174999999999997,1.1114978840096331E-6,
28.349999999999998,1.1054402390817471E-6,
28.525,1.0996013738742388E-6,
28.7,1.0939751095436173E-6,
28.874999999999996,1.0885545674229054E-6,
29.049999999999997,1.0833321337211148E-6,
29.224999999999998,1.0782994226810828E-6,
29.4,1.0734472382423361E-6,
29.575,1.0687655342928548E-6,
29.749999999999996,1.0642433736332656E-6,
29.924999999999997,1.0598688858239618E-6,
30.099999999999998,1.0556292241376427E-6,
30.275,1.0515105218988864E-6,
30.45,1.04749784855686E-6,
30.624999999999996,1.0435751659107763E-6,
30.799999999999997,1.03972528498727E-6,
30.974999999999998,1.0359298241554704E-6,
31.15,1.0321691691624735E-6,
31.325,1.028422435873145E-6,
31.499999999999996,1.024667436609711E-6,
31.674999999999997,1.0208806511023034E-6,
31.849999999999998,1.0170372031869011E-6,
32.025,1.0131108445133245E-6,
32.199999999999996,1.0090739466596582E-6,
32.375,1.0048975031830174E-6,
32.55,1.000551143267001E-6,
32.725,9.960031587596546E-7,
32.9,9.912205465130954E-7,
33.074999999999996,9.86169068046625E-7,
33.25,9.808133286497893E-7,
33.425,9.751168781069974E-7,
33.599999999999994,9.690423352695745E-7,
33.775,9.625515386974476E-7,
33.949999999999996,9.556057255545604E-7,
34.125,9.481657408372636E-7,
34.3,9.401922788558199E-7,
34.474999999999994,9.316461586463381E-7,
34.65,9.22488634669517E-7,
34.824999999999996,9.126817437315637E-7,
35.0,9.021886885384148E-7,
